Tempo;Distancia;Papel;Design;Bloco
1,38;3,24;A2;B1;BC1
1,10;2,5;A1;B2;BC1
1,6;2,87;A2;B2;BC1
1,34;3,48;A1;B1;BC1
0,88;3,41;A1;B1;BC2
1,47;2,92;A2;B1;BC2
1,40;4,12;A2;B2;BC2
1,81;2,81;A1;B2;BC2
