PAPEL,DESIGN,BLOCO,TEMPO,DISTANCIA,RUN
cartolina,sem,1,2.39,216,D
sulfite,sem,1,3.51,211,C
sulfite,com,1,1.86,168,A
cartolina,com,1,1.92,559,B
cartolina,sem,2,1.35,232,D
sulfite,sem,2,3.06,813,C
cartolina,com,2,1.64,558,B
sulfite,com,2,2.03,290,A
cartolina,com,3,1.58,500,B
sulfite,sem,3,1.4,259,C
cartolina,sem,3,1.31,241,D
sulfite,com,3,2.69,517,A
sulfite,sem,4,2.02,293,C
cartolina,sem,4,2.56,813,D
sulfite,com,4,1.41,164,A
cartolina,com,4,1.24,338,B
